"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"49",467,50,10700,19,"10700_10_19_28","Rocky Mountain Alpine Dwarf-Shrubland","Shrubland",228,NA,NA,228,100,NA,NA,"V-A",19,118,92,0.074509804,0.462745098,0.360784314,11,0
"50",468,11,10800,19,"10800_10_19","Inter-Mountain Basins Big Sagebrush Shrubland","Shrubland",80,NA,NA,80,100,NA,NA,"IV-A",255,190,232,1,0.745098039,0.909803922,2,0
"51",471,19,11150,19,"11150_10_19","Inter-Mountain Basins Juniper Savanna","Conifer",824,438,560,189,23,43,34,"III-B",137,112,68,0.537254902,0.439215686,0.266666667,4,0
"52",473,302,11250,19,"11250_1_7_8_9_10_19","Inter-Mountain Basins Big Sagebrush Steppe","Shrubland",59,NA,NA,59,100,NA,NA,"IV-A",255,115,223,1,0.450980392,0.874509804,67,0
"53",474,3248,11260,19,"11260_1_7_8_9_10_19","Inter-Mountain Basins Montane Sagebrush Steppe","Shrubland",31,NA,NA,31,100,NA,NA,"II-C",230,0,169,0.901960784,0,0.662745098,722,0
"54",476,258,11400,19,"11400_10_19","Northern Rocky Mountain Subalpine-Upper Montane Grassland","Grassland",146,NA,NA,146,100,NA,NA,"IV-B",167,205,195,0.654901961,0.803921569,0.764705882,57,0
"55",477,2,11430,19,"11430_9_19_21_28","Rocky Mountain Alpine Fell-Field","Grassland",525,NA,NA,525,100,NA,NA,"V-B",130,130,130,0.509803922,0.509803922,0.509803922,0,0
"56",481,8,11540,19,"11540_10_19","Inter-Mountain Basins Montane Riparian Systems","Riparian",173,NA,NA,173,100,NA,NA,"IV-B",154,156,117,0.603921569,0.611764706,0.458823529,2,0
"57",486,352,11662,19,"11662_19","Middle Rocky Mountain Montane Douglas-fir Forest and Woodland-Fire-maintained Savanna","Conifer",202,151,23,18,9,12,79,"I-C",255,120,0,1,0.470588235,0,78,0
"58",487,653,11670,19,"11670_10_19","Rocky Mountain Poor-Site Lodgepole Pine Forest","Conifer",335,2500,NA,295,88,12,NA,"V-A",85,255,0,0.333333333,1,0,145,0
