model_label,Model_Code,refLabel,refPercent,BpS_Name,Var1,Var2,Freq,BPS_CODE,ZONE,total_count,currentPercent
10470_10_19_A,10470_10_19,A,12,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,421,1,302,10470,10,5459,5
10470_10_19_A,10470_10_19,A,12,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,460,1,8876,10470,19,216128,4
10470_10_19_B,10470_10_19,B,35,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,421,2,1094,10470,10,5459,20
10470_10_19_B,10470_10_19,B,35,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,460,2,29709,10470,19,216128,13
10470_10_19_C,10470_10_19,C,6,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,421,3,3982,10470,10,5459,72
10470_10_19_C,10470_10_19,C,6,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,460,3,165568,10470,19,216128,76
10470_10_19_D,10470_10_19,D,9,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,421,4,42,10470,10,5459,0
10470_10_19_D,10470_10_19,D,9,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,460,4,1846,10470,19,216128,0
10470_10_19_E,10470_10_19,E,38,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,421,5,28,10470,10,5459,0
10470_10_19_E,10470_10_19,E,38,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,460,5,2088,10470,19,216128,0
10470_10_19_Agriculture,10470_10_19,Agriculture,0,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,460,180,1459,10470,19,216128,0
10470_10_19_Developed,10470_10_19,Developed,0,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,421,120,11,10470,10,5459,0
10470_10_19_Developed,10470_10_19,Developed,0,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,460,120,5587,10470,19,216128,2
10470_10_19_Water,10470_10_19,Water,0,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,NA,NA,NA,NA,NA,NA,NA
10470_10_19_UN,10470_10_19,UN,0,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,NA,NA,NA,NA,NA,NA,NA
10470_10_19_UE,10470_10_19,UE,0,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,460,7,818,10470,19,216128,0
10472_10_19_A,10472_10_19,A,7,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest - Cedar Groves,461,1,417,10472,19,7009,5
10472_10_19_B,10472_10_19,B,41,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest - Cedar Groves,461,2,4515,10472,19,7009,64
10472_10_19_C,10472_10_19,C,7,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest - Cedar Groves,461,3,1777,10472,19,7009,25
10472_10_19_D,10472_10_19,D,4,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest - Cedar Groves,461,4,3,10472,19,7009,0
10472_10_19_E,10472_10_19,E,41,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest - Cedar Groves,461,5,238,10472,19,7009,3
10472_10_19_Agriculture,10472_10_19,Agriculture,0,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest - Cedar Groves,461,180,3,10472,19,7009,0
10472_10_19_Developed,10472_10_19,Developed,0,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest - Cedar Groves,461,120,26,10472,19,7009,0
10472_10_19_Water,10472_10_19,Water,0,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest - Cedar Groves,NA,NA,NA,NA,NA,NA,NA
10472_10_19_UN,10472_10_19,UN,0,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest - Cedar Groves,NA,NA,NA,NA,NA,NA,NA
10472_10_19_UE,10472_10_19,UE,0,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest - Cedar Groves,461,7,21,10472,19,7009,0
10490_19_20_21_23_28_29_A,10490_19_20_21_23_28_29,A,21,Rocky Mountain Foothill Limber Pine-Juniper Woodland,462,1,391,10490,19,737,53
10490_19_20_21_23_28_29_B,10490_19_20_21_23_28_29,B,31,Rocky Mountain Foothill Limber Pine-Juniper Woodland,462,2,83,10490,19,737,11
10490_19_20_21_23_28_29_C,10490_19_20_21_23_28_29,C,48,Rocky Mountain Foothill Limber Pine-Juniper Woodland,462,3,119,10490,19,737,16
10490_19_20_21_23_28_29_D,10490_19_20_21_23_28_29,D,NA,Rocky Mountain Foothill Limber Pine-Juniper Woodland,NA,NA,NA,NA,NA,NA,NA
10490_19_20_21_23_28_29_E,10490_19_20_21_23_28_29,E,NA,Rocky Mountain Foothill Limber Pine-Juniper Woodland,NA,NA,NA,NA,NA,NA,NA
10490_19_20_21_23_28_29_Agriculture,10490_19_20_21_23_28_29,Agriculture,0,Rocky Mountain Foothill Limber Pine-Juniper Woodland,NA,NA,NA,NA,NA,NA,NA
10490_19_20_21_23_28_29_Developed,10490_19_20_21_23_28_29,Developed,0,Rocky Mountain Foothill Limber Pine-Juniper Woodland,462,120,12,10490,19,737,1
10490_19_20_21_23_28_29_Water,10490_19_20_21_23_28_29,Water,0,Rocky Mountain Foothill Limber Pine-Juniper Woodland,NA,NA,NA,NA,NA,NA,NA
10490_19_20_21_23_28_29_UN,10490_19_20_21_23_28_29,UN,0,Rocky Mountain Foothill Limber Pine-Juniper Woodland,NA,NA,NA,NA,NA,NA,NA
10490_19_20_21_23_28_29_UE,10490_19_20_21_23_28_29,UE,0,Rocky Mountain Foothill Limber Pine-Juniper Woodland,462,7,1,10490,19,737,0
10530_10_19_A,10530_10_19,A,6,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,463,1,1005,10530,19,11332,8
10530_10_19_B,10530_10_19,B,6,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,423,2,73,10530,10,99,73
10530_10_19_B,10530_10_19,B,6,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,463,2,5720,10530,19,11332,50
10530_10_19_C,10530_10_19,C,20,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,423,3,19,10530,10,99,19
10530_10_19_C,10530_10_19,C,20,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,463,3,3232,10530,19,11332,28
10530_10_19_D,10530_10_19,D,57,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,NA,NA,NA,NA,NA,NA,NA
10530_10_19_E,10530_10_19,E,11,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,423,5,3,10530,10,99,3
10530_10_19_E,10530_10_19,E,11,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,463,5,3,10530,19,11332,0
10530_10_19_Agriculture,10530_10_19,Agriculture,0,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,463,180,383,10530,19,11332,3
10530_10_19_Developed,10530_10_19,Developed,0,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,463,120,272,10530,19,11332,2
10530_10_19_Water,10530_10_19,Water,0,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,NA,NA,NA,NA,NA,NA,NA
10530_10_19_UN,10530_10_19,UN,0,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,423,6,4,10530,10,99,4
10530_10_19_UN,10530_10_19,UN,0,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,463,6,628,10530,19,11332,5
10530_10_19_UE,10530_10_19,UE,0,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,463,7,50,10530,19,11332,0
10550_10_19_A,10550_10_19,A,16,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,424,1,11639,10550,10,75804,15
10550_10_19_A,10550_10_19,A,16,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,464,1,30876,10550,19,283863,10
10550_10_19_B,10550_10_19,B,44,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,424,2,6951,10550,10,75804,9
10550_10_19_B,10550_10_19,B,44,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,464,2,65147,10550,19,283863,22
10550_10_19_C,10550_10_19,C,15,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,424,3,5252,10550,10,75804,6
10550_10_19_C,10550_10_19,C,15,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,464,3,19478,10550,19,283863,6
10550_10_19_D,10550_10_19,D,5,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,424,4,15221,10550,10,75804,20
10550_10_19_D,10550_10_19,D,5,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,464,4,42521,10550,19,283863,14
10550_10_19_E,10550_10_19,E,20,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,424,5,36340,10550,10,75804,47
10550_10_19_E,10550_10_19,E,20,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,464,5,114135,10550,19,283863,40
10550_10_19_Agriculture,10550_10_19,Agriculture,0,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,424,180,112,10550,10,75804,0
10550_10_19_Agriculture,10550_10_19,Agriculture,0,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,464,180,3211,10550,19,283863,1
10550_10_19_Developed,10550_10_19,Developed,0,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,424,120,115,10550,10,75804,0
10550_10_19_Developed,10550_10_19,Developed,0,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,464,120,5187,10550,19,283863,1
10550_10_19_Water,10550_10_19,Water,0,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,NA,NA,NA,NA,NA,NA,NA
10550_10_19_UN,10550_10_19,UN,0,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,NA,NA,NA,NA,NA,NA,NA
10550_10_19_UE,10550_10_19,UE,0,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,424,7,37,10550,10,75804,0
10550_10_19_UE,10550_10_19,UE,0,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,464,7,2224,10550,19,283863,0
10560_10_19_A,10560_10_19,A,16,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,425,1,49305,10560,10,453845,10
10560_10_19_A,10560_10_19,A,16,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,465,1,761015,10560,19,5024279,15
10560_10_19_B,10560_10_19,B,26,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,425,2,432,10560,10,453845,0
10560_10_19_B,10560_10_19,B,26,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,465,2,3978,10560,19,5024279,0
10560_10_19_C,10560_10_19,C,20,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,425,3,102540,10560,10,453845,22
10560_10_19_C,10560_10_19,C,20,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,465,3,1261270,10560,19,5024279,25
10560_10_19_D,10560_10_19,D,38,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,425,4,301159,10560,10,453845,66
10560_10_19_D,10560_10_19,D,38,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,465,4,2938584,10560,19,5024279,58
10560_10_19_E,10560_10_19,E,NA,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,NA,NA,NA,NA,NA,NA,NA
10560_10_19_Agriculture,10560_10_19,Agriculture,0,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,425,180,32,10560,10,453845,0
10560_10_19_Agriculture,10560_10_19,Agriculture,0,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,465,180,3932,10560,19,5024279,0
10560_10_19_Developed,10560_10_19,Developed,0,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,425,120,51,10560,10,453845,0
10560_10_19_Developed,10560_10_19,Developed,0,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,465,120,12304,10560,19,5024279,0
10560_10_19_Water,10560_10_19,Water,0,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,NA,NA,NA,NA,NA,NA,NA
10560_10_19_UN,10560_10_19,UN,0,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,NA,NA,NA,NA,NA,NA,NA
10560_10_19_UE,10560_10_19,UE,0,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,425,7,106,10560,10,453845,0
10560_10_19_UE,10560_10_19,UE,0,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,465,7,11188,10560,19,5024279,0
10700_10_19_28_A,10700_10_19_28,A,13,Rocky Mountain Alpine Dwarf-Shrubland,467,1,31,10700,19,50,62
10700_10_19_28_B,10700_10_19_28,B,87,Rocky Mountain Alpine Dwarf-Shrubland,467,2,19,10700,19,50,38
